electricity_kwh,petrol_liters,diesel_liters,car_km,bike_km,public_transport_km,flight_hours,waste_kg,recycling_percent,solar_kwh,household_size,diet_type,monthly_income,carbon_emission_kg
218.5430534813131,39.363552027744205,29.891265477335878,749.5053655935801,729.9983109899704,138.55625891384494,12.762891367443478,50.704447324029026,29.89120412044165,131.97296235054998,1,mixed,119431.4333628201,1659.31
477.8214378844623,47.34356593750214,26.63296769851226,1120.1201587688913,184.51199559871156,91.13059438203008,9.185849070683862,7.917760082232313,9.481777516205803,326.6953676340765,4,mixed,36166.02888124208,1420.96
379.3972738151323,85.45473932021804,14.092313000228804,844.0001709844997,346.6396943698862,906.2879261154961,19.289970497278816,50.91952556575509,12.635922497221596,397.7507266019829,6,vegetarian,142122.08411612996,2289.37
319.3963178886665,34.00043860598922,48.58133360811904,124.95387466769459,663.2806368578182,1449.1744837391323,4.379569019684764,11.725145507308719,18.06711281809218,336.30461513081826,2,vegetarian,78482.79719685797,766.73
120.20838819909643,86.96496848121713,38.12993284069031,278.3703551753331,482.08934452447994,754.081963432086,11.757128319978813,58.27581788890605,20.365333436494836,138.4571705737169,2,mixed,108096.01829852031,1552.97
120.1975341512912,8.813443097669149,69.25607938592029,328.9922760463787,738.5710386348939,77.2728389089577,14.004200299804452,34.25582349356979,24.226180921054407,284.500957365145,1,mixed,79474.21700985756,1530.85
76.13762547568976,77.67984372086308,2.5687664385646602,386.79638046726734,961.2079012228597,331.82798411618427,16.511289786907632,67.8272368676389,25.54600289634944,213.56937879642933,7,non_vegetarian,14179.975342356644,1891.7
439.7792655987208,84.75476330547363,51.509434204410105,848.1050879257564,116.54668771519749,367.189359623656,8.139420608560142,75.6896933948848,45.57163454875359,314.60711355336343,1,mixed,176545.22604971594,1406.98
320.50175528444396,18.181765283733874,61.03591028092489,755.9486697380902,709.567716398061,506.785693705425,13.73843815314963,36.28327560992068,50.95731908260412,61.23895785849669,4,mixed,38259.35422591254,1925.71
368.63266000822045,43.03465323722004,60.75892553506456,304.7400575463134,230.34415563211454,65.40507537931894,6.0640294276856554,39.541647160530964,30.887920812635596,255.25383705836157,5,mixed,120612.88192665232,1081.88
59.263022433111104,16.54997746636556,70.88591736764201,101.33226518353061,414.47672740756923,1357.3390507468744,8.709521847236406,49.26106857596377,90.72964199207281,309.46670933669384,2,mixed,177794.8925864948,1035.11
486.45943347289744,70.66041289942177,58.32269942635953,257.1483067120771,32.86272579513982,773.3459170822429,17.912542624067985,19.78495413935379,55.31397233389546,304.49253416265606,2,mixed,52052.55742848968,2192.59
424.59918836018977,53.534776806165674,74.2248049318157,1476.571968927905,135.90738229269894,1006.3961894311636,18.998152186619087,74.5499630621271,78.74769280334067,385.43720224151264,5,vegetarian,88282.79919948592,2477.16
145.55259980522428,63.5323346708321,26.612527985671317,702.8204246872084,319.77728904889966,100.75925534251346,14.376346938545295,37.47499448760295,92.42378324208434,23.364552313728026,4,mixed,81769.07656130064,1844.74
131.82123524319528,19.648696695621116,40.256753340123446,1301.0182570531688,341.98580528798493,81.1732017054741,7.487037815523701,17.51152519370055,16.31351145758052,138.31174763691624,3,non_vegetarian,26951.89128166388,1186.86
132.53202943404523,21.17458620524195,1.126373062631254,1273.1287000032648,899.5852164620958,879.7016580608208,16.40115579949328,62.2048875064163,42.78744837156345,190.62143271657553,3,vegetarian,90468.28145141892,1903.58
186.90900933179196,4.149732550990636,0.556606984263297,767.2793361943105,741.8129092665151,1330.944015756312,0.5173416345084036,21.43635293329889,43.32104017146088,123.90541135683249,2,mixed,101100.91236517065,427.42
286.140394234507,32.20675351957297,19.210129636121593,1060.0315626908152,972.1829681870411,792.7230014393205,2.054918210788421,15.764695630389124,35.44722504383542,123.91580546898835,3,mixed,15053.493096587015,804.84
244.3752583889521,55.97446613336749,8.06457577112682,289.12801561906844,599.0715103352405,1316.7287588551071,13.227474727507222,47.21540566205053,0.890586655163994,70.45144267597054,7,vegetarian,102747.3139058106,1747.74
181.05311308911885,85.79349139973289,20.81690943486029,1032.5950573903624,241.71373209131798,1216.486909582859,5.824971505401148,55.36214414686931,81.59721077780951,325.1805612100831,4,vegetarian,27827.72423297967,1007.46
325.33380262507075,66.69274474586807,14.163463562271792,408.57686889493425,327.65502992164284,113.78067869238112,19.027724368009554,47.71720554986872,11.15593215539028,363.22761775381696,3,vegetarian,179567.9052777093,2039.84
112.77223729341883,43.53963233997514,2.281601987091859,1248.0931451312263,319.8359232919671,302.9362115785348,8.721212241846095,54.23829867105224,99.54805979217589,32.93094382870021,1,mixed,133529.97212282504,1281.54
181.46509184084817,95.31201143941378,72.74433171248396,125.58619966336487,326.49432766325157,986.5660037330138,8.58729640778354,13.664300923080834,77.29584919111817,61.959564703319444,4,mixed,20721.117191301666,1440.96
214.86282948216126,71.92452005758318,0.657850511111322,1159.7080093279162,672.9641731118156,665.2520738250623,13.561590203818625,40.70135284130805,58.00100176065145,91.38119994874128,5,mixed,167138.17343377706,1887.17
255.23149289766616,93.016520286255,58.886571546966834,149.9053598529293,530.8079280904162,436.0497204703808,15.351371246123794,31.77639830664059,15.460641774159745,203.59499354166766,2,vegetarian,78703.89538575588,1929.45
403.3291826268561,52.75879732721657,12.171830953561322,1321.7838553414633,385.4241780866443,627.9507840719687,9.51117476250273,78.00264621800913,51.5392971393247,316.46881332038686,4,mixed,52867.256449632725,1473.93
139.85320197126188,25.89042747931396,72.978369759968,456.30677720250554,149.0897687287166,667.7994694059515,4.280018034234483,8.721795063460057,26.11087408578089,28.582209905980083,3,vegetarian,58245.031063525,902.67
281.4054972861252,5.282668636472199,71.42367516719086,981.5900472458621,22.13916294214591,1365.8283762323947,15.466172854512433,27.37206522949423,25.23225245430695,254.72519426337143,4,vegetarian,123566.53159935151,1915.9
316.5865559879191,72.60848514838504,52.31209170954059,731.2534179304198,218.8346775876926,155.18742555742955,6.407025497472551,75.63966455687915,82.95292493824854,59.73418250816791,6,mixed,25495.05758381378,1361.29
70.90268572399897,12.130299800553413,53.77873198404841,549.4547178935085,107.47140396868127,419.5961202114225,3.502215385877152,78.76221373882471,38.064442395943466,388.5828271505061,5,mixed,21161.57588898742,507.18
323.39518335564725,30.277512827196716,0.42713135757508347,968.1627497752447,785.4450308522394,806.3472248740709,12.632803798500266,66.86762057953501,45.07238033908041,359.5093723406967,6,non_vegetarian,129227.47884933531,1589.37
126.73585565928119,53.24709078838974,78.78972528908817,1421.284470826857,112.49795781388539,1047.4303899458876,1.809073339807008,10.699868301230698,84.29647377801183,379.8331395783008,4,vegetarian,196562.79918660663,690.77
79.27321684337578,56.441658777974766,70.22660828606516,61.90462106193279,724.2282373068361,945.9559334388655,19.427053501721097,47.101627125765525,8.779062571884255,42.46555103308323,5,mixed,101851.39871501342,2319.58
476.99849176399994,60.0583196987136,71.60849805840736,1378.2792838246564,385.65868977608267,1412.4641066060917,12.647945288242738,35.00922445028503,59.461785309104954,195.21455314167676,5,mixed,88523.8321345007,2115.4
484.53441488355173,16.625533034970065,52.739562964069755,913.6224825315203,73.37838974377597,1193.4133872292098,19.717910418435117,65.48394257715512,57.82156813730378,66.0986267993501,4,mixed,189967.56352172839,2566.47
413.7788066524075,37.97374048216488,27.58295429236292,1210.9714511535785,812.7300494315858,835.6152629616455,6.777868469572721,9.126817667849997,42.521456926667526,240.1422203132665,2,vegetarian,55788.210407019,1250.59
187.07619612801682,61.71942271169667,71.49189192723847,575.8124301514164,579.6305702366134,322.0240375102613,19.424103223807958,19.78465637335266,82.9774641424093,93.09564506474564,7,mixed,55702.79629563453,2433.47
93.95245130287273,96.98188646337847,23.32135425209539,707.7644622564206,235.76151286357305,676.3113471033597,2.9112449545724717,41.689629966697204,94.28900613356926,308.2523933475883,2,mixed,181972.06148152644,639.38
357.9048619304706,72.76311376996887,45.01692346737623,1303.276127701746,894.6811743326679,1040.073366291716,0.813895446940569,16.82357472108702,46.533586191361074,257.6010402598671,3,non_vegetarian,132916.92412380286,863.05
248.06862218282058,92.26037570939579,7.978477787510592,622.2719547147346,45.25831387055146,1256.9432622541274,0.6596812090920512,56.95363570207237,45.614705099839966,228.6418377149075,6,non_vegetarian,20218.919793653873,616.75
104.91720568015047,76.2212058314177,73.75645041062002,801.9893501236274,201.8196081977629,1439.6043366335812,9.297407411984542,66.55754158548487,50.20637296707447,330.09086318613197,4,non_vegetarian,138055.7075048845,1397.08
272.8296095500716,59.171696889240046,11.261636621697066,30.29238462649936,752.0469278058611,908.1791492068764,1.6600839495718955,57.838992022073256,72.31240308330615,200.10921233397957,6,mixed,165805.9928387363,607.27
65.47483450184828,19.202336913634454,17.99174445843258,237.89700875706345,709.3779303098892,790.3790509566487,10.243357683352034,38.02127852299867,66.80602906989623,107.94069613827384,6,non_vegetarian,62051.13037097296,1242.33
459.1941809354519,66.66856518925131,44.6507326502572,962.5297619621996,289.27169372447804,26.537884681722467,6.5500100701780095,70.87907496894846,22.283494920688707,248.28219872003524,4,vegetarian,82749.64611348808,1297.56
166.4509917200076,62.337956595990704,61.12744001703852,1075.4653515958157,62.02487535278311,108.14860372526991,6.712579849482312,15.326459878995628,6.389534859934331,382.82505287912244,1,vegetarian,47558.557399456244,1003.62
